LCODE_C1,LCODE_C2,LCODE_C3,METHOD,DATATIME,MDDI_ORG,LCODEC_C1,LCODEC_C2,LCODEC_C3,Shape_Leng,Shape_Area,分類,area_ha
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,500.280398456000000,7169.713348479999695,01農業利用土地,0.716971334848000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,65.932373154399997,306.160113260000003,01農業利用土地,0.030616011326000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,110.495759172000007,822.818073744000003,01農業利用土地,0.082281807374400
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,85.680621860599999,503.080548468000018,01農業利用土地,0.050308054846800
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,119.634923869000005,734.382208769000044,01農業利用土地,0.073438220876900
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,69.654425898000000,311.171307323999997,01農業利用土地,0.031117130732400
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,34.919360233900001,79.696258618399995,01農業利用土地,0.007969625861840
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,133.949217368000006,1080.932939949999991,01農業利用土地,0.108093293995000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,55.202854474399999,202.191129808999989,01農業利用土地,0.020219112980900
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,62.741552068600001,277.422614312000007,01農業利用土地,0.027742261431200
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,81.807674357799996,396.827650849999998,01農業利用土地,0.039682765085000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,152.316625326999997,916.077268309000033,01農業利用土地,0.091607726830900
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,187.311673933999998,934.056444570000053,01農業利用土地,0.093405644457000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,65.214901034700006,233.521649786000012,01農業利用土地,0.023352164978600
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,248.499638019000002,2998.075985320000200,01農業利用土地,0.299807598532000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,67.304551898599996,316.315498638000008,01農業利用土地,0.031631549863800
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,120.321668060999997,574.524937419000025,01農業利用土地,0.057452493741900
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,104.341543603999995,537.107124581999983,01農業利用土地,0.053710712458200
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,63.722192550999999,282.493485150000026,01農業利用土地,0.028249348515000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,293.318300807000014,1851.429058819999909,01農業利用土地,0.185142905882000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,208.610558166999994,2126.163755439999932,01農業利用土地,0.212616375544000
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,71.862372133899996,304.517659447000028,01農業利用土地,0.030451765944700
01,0101,010102,0,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,101.759396014000004,548.851233333999971,01農業利用土地,0.054885123333400
