鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,全台排名,全台總村里,全台百分比,年份
綠島鄉,中寮村,284,238329,839,673,357,1095,689.19,82.13,1125,7857,14.3%,104
綠島鄉,公館村,221,182278,825,694,405,1018,969.78,117.58,879,7857,11.2%,104
綠島鄉,南寮村,362,296999,820,666,366,1105,618.68,75.41,1209,7857,15.4%,104
綠島鄉,中寮村,258,232134,900,735,432,1158,649.73,72.21,546,7856,7.0%,105
綠島鄉,公館村,227,182290,803,718,407,1002,630.76,78.55,677,7856,8.6%,105
綠島鄉,南寮村,355,289019,814,674,376,1107,626.36,76.94,1095,7856,13.9%,105
綠島鄉,中寮村,264,230270,872,671,401,1120,674.49,77.33,1222,7764,15.7%,106
綠島鄉,公館村,265,217391,820,702,418,1036,658.94,80.32,865,7764,11.1%,106
綠島鄉,南寮村,367,280815,765,629,357,1028,588.36,76.89,2026,7764,26.1%,106
綠島鄉,中寮村,264,239544,907,643,412,1125,769.82,84.84,2218,7763,28.6%,107
綠島鄉,公館村,258,223379,866,703,432,1084,759.68,87.74,1092,7763,14.1%,107
綠島鄉,南寮村,401,310140,773,632,359,1033,603.62,78.05,2553,7763,32.9%,107
綠島鄉,中寮村,255,178973,702,490,229,981,734.02,104.58,1213,7765,15.6%,108
綠島鄉,公館村,256,160641,628,527,207,841,588.44,93.77,766,7765,9.9%,108
綠島鄉,南寮村,397,251042,632,474,225,792,716.81,113.36,1453,7765,18.7%,108
綠島鄉,中寮村,250,169068,676,484,203,986,683.39,101.05,1310,7761,16.9%,109
綠島鄉,公館村,258,174838,678,505,202,893,730.56,107.81,999,7761,12.9%,109
綠島鄉,南寮村,419,256874,613,439,204,836,642.45,104.79,2310,7761,29.8%,109
綠島鄉,中寮村,239,159435,667,468,237,882,680.79,102.05,2051,7746,26.5%,110
綠島鄉,公館村,272,176689,650,473,225,806,765.28,117.81,1921,7746,24.8%,110
綠島鄉,南寮村,414,240313,580,455,196,784,556.6,95.89,2435,7746,31.4%,110
綠島鄉,中寮村,251,176496,703,468,219,994,752.98,107.08,3318,7750,42.8%,111
綠島鄉,公館村,298,188474,632,523,219,825,594.97,94.07,1758,7750,22.7%,111
綠島鄉,南寮村,463,271282,586,450,195,778,572.91,97.78,4052,7750,52.3%,111
綠島鄉,中寮村,274,190099,694,474,211,917,726.45,104.71,3349,7748,43.2%,112
綠島鄉,公館村,331,216179,653,547,222,883,606.27,92.83,1518,7748,19.6%,112
綠島鄉,南寮村,478,276733,579,452,196,783,536.56,92.68,4211,7748,54.3%,112
綠島鄉,中寮村,279,185716,666,457,201,903,732.45,110.04,4303,7748,55.5%,113
綠島鄉,公館村,311,218882,704,556,228,920,785.56,111.62,1523,7748,19.7%,113
綠島鄉,南寮村,493,288955,586,461,210,805,546.22,93.19,4133,7748,53.3%,113
