COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A4_CNT,A5A9_CNT,A10A14_CNT,A15A19_CNT,A20A24_CNT,A25A29_CNT,A30A34_CNT,A35A39_CNT,A40A44_CNT,A45A49_CNT,A50A54_CNT,A55A59_CNT,A60A64_CNT,A65A69_CNT,A70A74_CNT,A75A79_CNT,A80A84_CNT,A85A89_CNT,A90A94_CNT,A95A99_CNT,A100UP_5_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-4歲人口數,5-9歲人口數,10-14歲人口數,15-19歲人口數,20-24歲人口數,25-29歲人口數,30-34歲人口數,35-39歲人口數,40-44歲人口數,45-49歲人口數,50-54歲人口數,55-59歲人口數,60-64歲人口數,65-69歲人口數,70-74歲人口數,75-79歲人口數,80-84歲人口數,85-89歲人口數,90-94歲人口數,95-99歲人口數,100歲以上人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,31,35,49,41,42,56,76,69,61,55,82,99,63,36,30,18,29,6,3,0,0,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,60,70,89,99,111,107,139,131,138,106,158,130,127,74,46,46,27,16,4,2,1,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,62,59,72,86,110,102,112,86,96,112,123,115,89,41,39,30,18,8,3,1,0,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,51,44,59,85,103,112,117,154,138,164,151,173,130,73,63,60,41,12,13,1,0,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,20,14,26,28,37,45,48,63,51,47,70,66,50,26,21,19,10,12,1,0,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,22,30,23,49,40,37,60,55,50,64,62,62,42,33,36,29,19,11,2,0,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,79,86,99,101,134,144,170,136,156,153,159,186,186,113,73,68,50,30,13,2,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,26,22,24,38,50,35,45,47,44,34,50,60,62,31,28,24,14,16,1,2,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,38,37,58,52,82,60,77,77,100,79,96,92,74,40,37,20,21,10,6,0,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,82,80,108,121,135,121,131,171,160,181,194,160,112,74,58,41,38,22,9,2,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,42,45,72,114,100,89,115,126,116,115,131,96,109,62,72,51,26,13,4,2,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,21,32,32,33,50,59,73,51,55,74,89,73,57,52,53,35,32,14,4,2,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,53,69,64,102,116,117,123,125,125,126,147,122,114,95,61,65,42,28,7,3,0,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,23,16,25,33,38,27,35,56,59,66,51,42,46,51,43,47,33,13,2,0,0,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,55,60,63,80,89,92,139,147,121,126,143,146,120,80,71,44,40,21,3,1,1,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,110,73,129,218,205,211,235,279,213,258,275,247,240,164,126,88,60,28,14,5,0,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,19,15,24,27,59,41,51,66,51,69,92,83,73,52,45,46,33,16,6,0,0,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,90,120,134,156,173,150,212,223,200,218,204,220,201,128,102,89,62,35,10,0,0,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,32,32,40,41,76,69,81,76,63,100,116,88,93,63,55,58,42,17,3,0,0,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,65,110,108,149,139,131,156,193,171,157,175,173,158,118,97,94,46,22,9,2,0,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,57,50,67,74,105,110,150,150,168,196,204,183,171,121,88,89,59,48,12,3,1,104Y12M
