COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,-2,-44,-46,19,60,12,15,104Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,1,-45,-44,50,92,39,42,104Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,-8,-33,-41,41,70,31,35,104Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,-11,-65,-76,49,122,34,26,104Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,-6,-28,-34,24,54,9,7,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,-1,-13,-14,24,34,8,11,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,-13,22,9,91,88,86,67,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,0,-1,-1,27,28,8,8,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,-8,13,5,49,40,21,17,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,-15,-42,-57,79,122,47,46,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,-2,-31,-33,46,76,26,27,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,-4,-11,-15,21,26,13,19,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,-11,-8,-19,64,62,26,36,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,-5,-3,-8,21,20,7,11,104Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,-5,-22,-27,58,82,45,43,104Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,-9,-86,-95,79,151,65,79,104Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,-9,-15,-24,37,44,6,14,104Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,-16,-9,-25,88,103,73,67,104Y
