"年度","月份","綠島遊憩區"
"Year","Month","Lyudao（Green Island）Recreation Area"
"104(2015)","1","8514"
"104(2015)","2","13639"
"104(2015)","3","16637"
"104(2015)","4","35206"
"104(2015)","5","45022"
"104(2015)","6","52947"
"104(2015)","7","61511"
"104(2015)","8","47031"
"104(2015)","9","35433"
"104(2015)","10","27594"
"104(2015)","11","11661"
"104(2015)","12","7850"
"105(2016)","1","8818"
"105(2016)","2","17035"
"105(2016)","3","13340"
"105(2016)","4","37540"
"105(2016)","5","43702"
"105(2016)","6","57536"
"105(2016)","7","55246"
"105(2016)","8","46219"
"105(2016)","9","20928"
"105(2016)","10","17976"
"105(2016)","11","9481"
"105(2016)","12","9048"
"106(2017)","1","11833"
"106(2017)","2","10212"
"106(2017)","3","11787"
"106(2017)","4","36627"
"106(2017)","5","42393"
"106(2017)","6","38763"
"106(2017)","7","59322"
"106(2017)","8","60691"
"106(2017)","9","29736"
"106(2017)","10","27291"
"106(2017)","11","9669"
"106(2017)","12","7298"
"107(2018)","1","5872"
"107(2018)","2","10210"
"107(2018)","3","13213"
"107(2018)","4","42587"
"107(2018)","5","39920"
"107(2018)","6","43395"
"107(2018)","7","62794"
"107(2018)","8","51393"
"107(2018)","9","26671"
"107(2018)","10","21745"
"107(2018)","11","11525"
"107(2018)","12","10294"
"108(2019)","1","6944"
"108(2019)","2","15082"
"108(2019)","3","15220"
"108(2019)","4","35499"
"108(2019)","5","38070"
"108(2019)","6","52841"
"108(2019)","7","66709"
"108(2019)","8","35395"
"108(2019)","9","36840"
"108(2019)","10","28644"
"108(2019)","11","9990"
"108(2019)","12","6231"
"109(2020)","1","12699"
"109(2020)","2","8075"
"109(2020)","3","9832"
"109(2020)","4","12902"
"109(2020)","5","15369"
"109(2020)","6","38439"
"109(2020)","7","77681"
"109(2020)","8","74009"
"109(2020)","9","54351"
"109(2020)","10","40145"
"109(2020)","11","6858"
"109(2020)","12","4676"
"110(2021)","1","6145"
"110(2021)","2","12601"
"110(2021)","3","14964"
"110(2021)","4","34133"
"110(2021)","5","19655"
"110(2021)","6","937"
"110(2021)","7","2272"
"110(2021)","8","8139"
"110(2021)","9","18976"
"110(2021)","10","20512"
"110(2021)","11","9430"
"110(2021)","12","7614"
"111(2022)","1","6147"
"111(2022)","2","11301"
"111(2022)","3","14914"
"111(2022)","4","32961"
"111(2022)","5","17392"
"111(2022)","6","33598"
"111(2022)","7","63360"
"111(2022)","8","62733"
"111(2022)","9","40228"
"111(2022)","10","21063"
"111(2022)","11","9491"
"111(2022)","12","6106"
"112(2023)","1","8084"
"112(2023)","2","6701"
"112(2023)","3","14326"
"112(2023)","4","42306"
"112(2023)","5","32199"
"112(2023)","6","49283"
"112(2023)","7","47680"
"112(2023)","8","39573"
"112(2023)","9","28197"
"112(2023)","10","22661"
"112(2023)","11","7542"
"112(2023)","12","6252"
"113(2024)","1","6080"
"113(2024)","2","9623"
"113(2024)","3","11879"
"113(2024)","4","27941"
"113(2024)","5","32058"
"113(2024)","6","39747"
"113(2024)","7","37916"
"113(2024)","8","33838"
"113(2024)","9","25387"
"113(2024)","10","17763"
"113(2024)","11","5744"
"113(2024)","12","5050"
"總計(Total)","","3120158"
