COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,348,881,460,421,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,663,1681,882,799,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,532,1364,743,621,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,689,1744,890,854,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,282,654,329,325,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,275,726,379,347,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,887,2138,1142,996,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,297,653,369,284,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,464,1056,547,509,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,814,2000,1063,937,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,527,1500,787,713,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,362,891,497,394,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,692,1704,870,834,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,308,706,388,318,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,627,1642,903,739,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,1128,3178,1652,1526,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,355,868,464,404,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,947,2727,1417,1310,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,491,1145,586,559,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,779,2273,1191,1082,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,786,2106,1133,973,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,323,713,399,314,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,145,368,198,170,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,336,919,451,468,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,197,498,270,228,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,173,452,262,190,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,382,1028,560,468,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,154,401,215,186,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,540,1367,726,641,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,868,2289,1134,1155,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,278,766,407,359,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,161,400,218,182,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,1326,3421,1744,1677,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,185,470,252,218,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,458,1247,652,595,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,517,1353,749,604,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,498,1398,732,666,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,548,1547,819,728,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,483,1185,649,536,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,511,1355,713,642,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,245,598,329,269,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,164,389,223,166,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,559,1350,716,634,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,212,578,319,259,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,956,2616,1381,1235,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,115,360,194,166,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,230,729,393,336,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,141,516,277,239,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,363,1243,650,593,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,227,727,393,334,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,861,1804,1111,693,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,137,318,175,143,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,449,1134,619,515,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,521,1436,771,665,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,1028,2503,1330,1173,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,268,585,309,276,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,507,1067,552,515,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,209,702,353,349,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,169,610,316,294,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,470,1492,765,727,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,132,405,220,185,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,123,377,199,178,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,551,1425,824,601,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,388,1027,563,464,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,239,664,394,270,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,871,2297,1268,1029,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,577,1429,835,594,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,300,737,414,323,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,156,669,373,296,104Y12M
