COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,115,61,54,644,350,294,122,49,73,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,219,121,98,1246,663,583,216,98,118,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,193,106,87,1031,577,454,140,60,80,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,154,85,69,1327,686,641,263,119,144,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,60,30,30,505,256,249,89,43,46,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,75,40,35,521,273,248,130,66,64,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,264,152,112,1525,826,699,349,164,185,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,72,32,40,465,278,187,116,59,57,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,133,74,59,789,414,375,134,59,75,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,270,150,120,1486,794,692,244,119,125,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,159,90,69,1111,586,525,230,111,119,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,85,52,33,614,352,262,192,93,99,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,186,112,74,1217,620,597,301,138,163,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,64,32,32,453,268,185,189,88,101,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,178,95,83,1203,686,517,261,122,139,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,312,176,136,2381,1247,1134,485,229,256,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,58,29,29,612,335,277,198,100,98,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,344,169,175,1957,1028,929,426,220,206,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,104,47,57,803,434,369,238,105,133,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,283,148,135,1602,837,765,388,206,182,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,174,100,74,1511,844,667,421,189,232,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,41,18,23,494,297,197,178,84,94,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,37,17,20,255,148,107,76,33,43,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,87,40,47,655,326,329,177,85,92,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,49,32,17,356,192,164,93,46,47,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,45,27,18,324,187,137,83,48,35,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,119,63,56,708,399,309,201,98,103,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,55,29,26,256,144,112,90,42,48,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,136,80,56,961,529,432,270,117,153,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,275,154,121,1599,804,795,415,176,239,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,58,31,27,550,303,247,158,73,85,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,36,14,22,271,160,111,93,44,49,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,341,167,174,2702,1392,1310,378,185,193,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,33,17,16,339,192,147,98,43,55,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,126,67,59,964,504,460,157,81,76,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,134,72,62,952,539,413,267,138,129,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,181,98,83,1070,559,511,147,75,72,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,189,100,89,1106,613,493,252,106,146,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,100,51,49,842,489,353,243,109,134,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,198,106,92,1008,536,472,149,71,78,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,62,25,37,433,254,179,103,50,53,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,29,17,12,266,162,104,94,44,50,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,156,76,80,929,506,423,265,134,131,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,61,32,29,423,247,176,94,40,54,104Y12M
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,286,150,136,1884,1020,864,446,211,235,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,61,30,31,269,156,113,30,8,22,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,126,58,68,547,311,236,56,24,32,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,87,44,43,387,214,173,42,19,23,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,213,100,113,951,521,430,79,29,50,104Y12M
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,117,63,54,540,299,241,70,31,39,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,112,57,55,1315,881,434,377,173,204,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,25,10,15,232,129,103,61,36,25,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,104,51,53,807,467,340,223,101,122,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,134,70,64,1039,593,446,263,108,155,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,260,139,121,1769,981,788,474,210,264,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,36,20,16,396,225,171,153,64,89,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,102,44,58,693,384,309,272,124,148,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,102,51,51,536,274,262,64,28,36,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,109,58,51,466,243,223,35,15,20,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,256,127,129,1120,586,534,116,52,64,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,64,44,20,298,155,143,43,21,22,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,58,31,27,279,150,129,40,18,22,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,122,59,63,948,605,343,355,160,195,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,83,41,42,727,434,293,217,88,129,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,80,41,39,448,286,162,136,67,69,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,216,118,98,1608,934,674,473,216,257,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,92,58,34,1030,617,413,307,160,147,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,46,26,20,494,303,191,197,85,112,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,117,65,52,514,291,223,38,17,21,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,71,31,40,237,125,112,21,8,13,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,127,71,56,554,313,241,48,23,25,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,213,106,107,919,508,411,88,33,55,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,210,110,100,736,385,351,69,27,42,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,67,33,34,251,138,113,42,19,23,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,170,88,82,1276,720,556,260,120,140,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,136,77,59,894,475,419,243,112,131,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,75,36,39,558,318,240,129,52,77,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,93,45,48,719,414,305,209,104,105,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,135,67,68,752,381,371,181,86,95,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,60,38,22,722,417,305,221,93,128,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,144,74,70,871,491,380,259,128,131,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,99,52,47,779,451,328,84,38,46,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,69,29,40,543,304,239,86,38,48,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,79,41,38,588,335,253,72,28,44,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,26,11,15,304,157,147,27,12,15,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,54,27,27,336,190,146,62,30,32,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,51,31,20,278,156,122,52,26,26,104Y12M
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,109,48,61,971,530,441,117,55,62,104Y12M
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,114,64,50,787,423,364,95,43,52,104Y12M
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,157,85,72,1262,646,616,163,78,85,104Y12M
10014,臺東縣,10014010,臺東市,10014010-021,大同里,104,48,56,670,329,341,162,77,85,104Y12M
10014,臺東縣,10014010,臺東市,10014010-024,中山里,242,119,123,666,348,318,193,82,111,104Y12M
10014,臺東縣,10014010,臺東市,10014010-011,中心里,947,498,449,2816,1353,1463,446,202,244,104Y12M
10014,臺東縣,10014010,臺東市,10014010-020,中正里,46,23,23,674,339,335,200,94,106,104Y12M
10014,臺東縣,10014010,臺東市,10014010-015,中華里,206,103,103,1434,751,683,299,128,171,104Y12M
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,55,27,28,611,330,281,137,59,78,104Y12M
10014,臺東縣,10014010,臺東市,10014010-023,文化里,447,236,211,751,367,384,117,52,65,104Y12M
