COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,109.26,2.53,45.12,36.8,17.86,18.94,106.09,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,110.39,2.54,246.37,34.91,17.58,17.34,98.63,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,119.65,2.56,72.19,32.3,18.72,13.58,72.54,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,104.22,2.53,192.43,31.42,11.61,19.82,170.78,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,101.23,2.32,78.95,29.5,11.88,17.62,148.33,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,109.22,2.64,99,39.35,14.4,24.95,173.33,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,114.66,2.41,199.76,40.2,17.31,22.89,132.2,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,129.93,2.2,224.2,40.43,15.48,24.95,161.11,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,107.47,2.28,49.1,33.84,16.86,16.98,100.75,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,113.45,2.46,91.41,34.59,18.17,16.42,90.37,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,110.38,2.85,120.25,35.01,14.31,20.7,144.65,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,126.14,2.46,95.74,45.11,13.84,31.27,225.88,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,104.32,2.46,509.62,40.02,15.28,24.73,161.83,104Y12M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,122.01,2.29,55.02,55.85,14.13,41.72,295.31,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,122.19,2.62,51.42,36.49,14.8,21.7,146.63,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,108.26,2.82,298.09,33.47,13.1,20.37,155.45,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,114.85,2.45,69.34,41.83,9.48,32.35,341.38,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,108.17,2.88,344.38,39.35,17.58,21.77,123.84,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,104.83,2.33,29.26,42.59,12.95,29.64,228.85,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,110.07,2.92,6057.2,41.89,17.67,24.22,137.1,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,116.44,2.68,91.4,39.38,11.52,27.86,241.95,104Y12M
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,127.07,2.21,39.74,44.33,8.3,36.03,434.15,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,116.47,2.54,41.74,44.31,14.51,29.8,205.41,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,96.37,2.74,515.17,40.31,13.28,27.02,203.45,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,118.42,2.53,33.38,39.89,13.76,26.12,189.8,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,137.89,2.61,25.79,39.51,13.89,25.62,184.44,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,119.66,2.69,96.94,45.2,16.81,28.39,168.91,104Y12M
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,115.59,2.6,86.96,56.64,21.48,35.16,163.64,104Y12M
