COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15A19_E1314_CNT,A15A19_E1112_CNT,A15A19_E2122_CNT,A15A19_E3_4_5_CNT,A15A19_E6_7_CNT,A15A19_E8_9_CNT,A15A19_E1_2_CNT,A15A19_E03_CNT,A15A19_E04_CNT,A20A24_E1314_CNT,A20A24_E1112_CNT,A20A24_E2122_CNT,A20A24_E3_4_5_CNT,A20A24_E6_7_CNT,A20A24_E8_9_CNT,A20A24_E1_2_CNT,A20A24_E03_CNT,A20A24_E04_CNT,A25A29_E1314_CNT,A25A29_E1112_CNT,A25A29_E2122_CNT,A25A29_E3_4_5_CNT,A25A29_E6_7_CNT,A25A29_E8_9_CNT,A25A29_E1_2_CNT,A25A29_E03_CNT,A25A29_E04_CNT,A30A34_E1314_CNT,A30A34_E1112_CNT,A30A34_E2122_CNT,A30A34_E3_4_5_CNT,A30A34_E6_7_CNT,A30A34_E8_9_CNT,A30A34_E1_2_CNT,A30A34_E03_CNT,A30A34_E04_CNT,A35A39_E1314_CNT,A35A39_E1112_CNT,A35A39_E2122_CNT,A35A39_E3_4_5_CNT,A35A39_E6_7_CNT,A35A39_E8_9_CNT,A35A39_E1_2_CNT,A35A39_E03_CNT,A35A39_E04_CNT,A40A44_E1314_CNT,A40A44_E1112_CNT,A40A44_E2122_CNT,A40A44_E3_4_5_CNT,A40A44_E6_7_CNT,A40A44_E8_9_CNT,A40A44_E1_2_CNT,A40A44_E03_CNT,A40A44_E04_CNT,A45A49_E1314_CNT,A45A49_E1112_CNT,A45A49_E2122_CNT,A45A49_E3_4_5_CNT,A45A49_E6_7_CNT,A45A49_E8_9_CNT,A45A49_E1_2_CNT,A45A49_E03_CNT,A45A49_E04_CNT,A50A54_E1314_CNT,A50A54_E1112_CNT,A50A54_E2122_CNT,A50A54_E3_4_5_CNT,A50A54_E6_7_CNT,A50A54_E8_9_CNT,A50A54_E1_2_CNT,A50A54_E03_CNT,A50A54_E04_CNT,A55A59_E1314_CNT,A55A59_E1112_CNT,A55A59_E2122_CNT,A55A59_E3_4_5_CNT,A55A59_E6_7_CNT,A55A59_E8_9_CNT,A55A59_E1_2_CNT,A55A59_E03_CNT,A55A59_E04_CNT,A60A64_E1314_CNT,A60A64_E1112_CNT,A60A64_E2122_CNT,A60A64_E3_4_5_CNT,A60A64_E6_7_CNT,A60A64_E8_9_CNT,A60A64_E1_2_CNT,A60A64_E03_CNT,A60A64_E04_CNT,A65UP_E1314_CNT,A65UP_E1112_CNT,A65UP_E2122_CNT,A65UP_E3_4_5_CNT,A65UP_E6_7_CNT,A65UP_E8_9_CNT,A65UP_E1_2_CNT,A65UP_E03_CNT,A65UP_E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,15-19歲博士人口數,15-19歲碩士人口數,15-19歲大學院校人口數,15-19歲專科人口數,15-19歲高中職人口數,15-19歲國中初職人口數,15-19歲小學人口數,15-19歲自修人口數,15-19歲不識字人口數,20-24歲博士人口數,20-24歲碩士人口數,20-24歲大學院校人口數,20-24歲專科人口數,20-24歲高中職人口數,20-24歲國中初職人口數,20-24歲小學人口數,20-24歲自修人口數,20-24歲不識字人口數,25-29歲博士人口數,25-29歲碩士人口數,25-29歲大學院校人口數,25-29歲專科人口數,25-29歲高中職人口數,25-29歲國中初職人口數,25-29歲小學人口數,25-29歲自修人口數,25-29歲不識字人口數,30-34歲博士人口數,30-34歲碩士人口數,30-34歲大學院校人口數,30-34歲專科人口數,30-34歲高中職人口數,30-34歲國中初職人口數,30-34歲小學人口數,30-34歲自修人口數,30-34歲不識字人口數,35-39歲博士人口數,35-39歲碩士人口數,35-39歲大學院校人口數,35-39歲專科人口數,35-39歲高中職人口數,35-39歲國中初職人口數,35-39歲小學人口數,35-39歲自修人口數,35-39歲不識字人口數,40-44歲博士人口數,40-44歲碩士人口數,40-44歲大學院校人口數,40-44歲專科人口數,40-44歲高中職人口數,40-44歲國中初職人口數,40-44歲小學人口數,40-44歲自修人口數,40-44歲不識字人口數,45-49歲博士人口數,45-49歲碩士人口數,45-49歲大學院校人口數,45-49歲專科人口數,45-49歲高中職人口數,45-49歲國中初職人口數,45-49歲小學人口數,45-49歲自修人口數,45-49歲不識字人口數,50-54歲博士人口數,50-54歲碩士人口數,50-54歲大學院校人口數,50-54歲專科人口數,50-54歲高中職人口數,50-54歲國中初職人口數,50-54歲小學人口數,50-54歲自修人口數,50-54歲不識字人口數,55-59歲博士人口數,55-59歲碩士人口數,55-59歲大學院校人口數,55-59歲專科人口數,55-59歲高中職人口數,55-59歲國中初職人口數,55-59歲小學人口數,55-59歲自修人口數,55-59歲不識字人口數,60-64歲博士人口數,60-64歲碩士人口數,60-64歲大學院校人口數,60-64歲專科人口數,60-64歲高中職人口數,60-64歲國中初職人口數,60-64歲小學人口數,60-64歲自修人口數,60-64歲不識字人口數,65歲以上博士人口數,65歲以上碩士人口數,65歲以上大學院校人口數,65歲以上專科人口數,65歲以上高中職人口數,65歲以上國中初職人口數,65歲以上小學人口數,65歲以上自修人口數,65歲以上不識字人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,0,0,2,6,30,3,0,0,0,0,1,16,4,18,3,0,0,0,0,0,16,4,25,8,3,0,0,0,2,17,7,33,13,3,0,1,0,0,15,9,32,11,2,0,0,0,1,8,10,22,16,4,0,0,0,1,1,1,18,17,17,0,0,0,0,0,4,15,35,28,0,0,0,0,1,1,16,28,53,0,0,0,0,2,2,3,6,49,0,1,0,0,2,4,6,6,97,1,6,104Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,0,0,10,15,67,6,1,0,0,0,2,55,13,38,3,0,0,0,0,10,49,5,37,6,0,0,0,0,9,24,18,66,19,3,0,0,0,10,19,22,59,20,1,0,0,2,5,13,18,66,30,4,0,0,0,1,11,8,37,32,17,0,0,0,2,8,13,53,52,30,0,0,0,1,7,7,34,39,42,0,0,0,0,3,2,28,19,73,0,2,0,0,6,5,23,33,132,0,17,104Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,0,0,4,27,47,8,0,0,0,0,0,37,9,53,11,0,0,0,0,0,19,9,60,14,0,0,0,0,0,28,8,46,24,6,0,0,0,0,5,11,36,28,6,0,0,0,2,4,9,47,29,5,0,0,1,1,1,8,19,69,13,0,0,0,0,3,1,26,64,28,0,1,0,0,2,1,30,39,43,0,0,0,0,4,2,9,13,60,0,1,1,1,2,4,7,7,117,0,1,104Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,0,0,13,17,47,6,2,0,0,0,4,50,7,38,4,0,0,0,0,2,41,8,50,9,2,0,0,0,4,25,19,48,16,5,0,0,0,5,20,26,70,32,1,0,0,1,1,15,13,62,42,4,0,0,1,3,8,15,63,61,13,0,0,1,1,5,10,47,61,25,0,1,0,0,5,10,37,70,49,0,2,0,1,5,2,18,15,87,0,2,0,2,5,5,15,21,170,4,41,104Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,0,0,4,8,14,2,0,0,0,0,0,13,6,17,1,0,0,0,0,0,23,4,16,1,0,0,1,0,2,7,10,20,7,2,0,0,0,3,12,10,23,15,0,0,0,0,3,4,5,27,11,1,0,0,0,0,1,2,22,15,6,0,1,0,0,1,6,27,25,11,0,0,0,1,3,6,13,18,25,0,0,0,0,3,2,15,10,20,0,0,0,0,3,3,4,8,56,4,11,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,0,0,14,8,23,4,0,0,0,0,1,23,5,9,2,0,0,0,0,2,16,1,11,5,2,0,0,0,2,15,5,23,14,1,0,0,0,0,5,10,24,13,3,0,0,0,1,3,11,21,14,0,0,0,0,2,2,8,34,16,2,0,0,0,0,2,3,21,29,7,0,0,0,0,2,1,12,23,24,0,0,0,0,1,0,3,10,27,0,1,0,0,0,0,2,8,98,0,22,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,0,0,15,17,60,9,0,0,0,0,2,62,20,46,4,0,0,0,0,4,57,13,61,9,0,0,0,1,11,37,28,67,22,4,0,0,1,4,27,17,58,28,1,0,0,0,6,18,19,77,33,3,0,0,0,2,9,14,77,39,12,0,0,0,3,7,15,57,56,20,0,1,0,1,10,7,56,45,60,0,7,0,4,3,4,33,27,110,1,4,0,0,8,7,25,27,230,6,46,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,0,0,3,8,25,2,0,0,0,0,1,13,14,21,1,0,0,0,0,2,9,4,18,2,0,0,0,0,1,8,4,21,11,0,0,0,0,1,4,4,23,13,2,0,0,0,1,4,2,24,10,3,0,0,0,0,2,1,10,16,5,0,0,0,0,1,1,17,26,5,0,0,0,0,0,4,20,19,17,0,0,0,0,0,1,13,10,37,0,1,0,0,3,0,6,5,83,3,16,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,0,0,3,11,33,5,0,0,0,0,1,16,14,44,7,0,0,0,0,0,10,3,43,3,0,0,1,0,0,10,5,42,18,1,0,1,0,0,2,11,23,38,2,0,1,1,2,1,4,34,52,6,0,0,0,0,1,4,18,29,26,0,1,0,2,1,2,17,29,43,1,1,0,0,1,4,14,16,56,0,1,0,0,0,2,11,4,54,1,2,0,0,1,2,8,12,98,1,12,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,0,0,8,30,68,13,2,0,0,0,1,44,18,70,2,0,0,0,0,0,26,16,69,10,0,0,0,0,1,22,13,66,28,1,0,0,0,2,10,21,85,50,3,0,0,0,1,8,11,71,62,7,0,0,1,0,3,12,80,61,23,0,1,0,1,8,5,55,74,50,0,1,0,0,2,1,40,36,77,2,2,0,0,1,4,15,19,72,0,1,0,0,6,1,23,33,166,5,10,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,0,0,10,17,73,14,0,0,0,0,1,44,16,33,5,1,0,0,1,4,33,7,38,5,1,0,0,0,3,20,15,60,17,0,0,0,0,2,16,18,56,30,4,0,0,1,4,6,18,48,34,3,0,2,0,1,2,10,48,47,7,0,0,0,0,1,9,39,64,18,0,0,0,1,1,4,20,30,40,0,0,1,0,2,0,17,8,80,0,1,0,0,0,1,6,17,190,0,16,104Y
