COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M5_CNT,A15UP_M3_CNT,A15UP_M6_CNT,A15UP_M4_CNT,A15UP_M7_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶(不同性別)人口數,有偶(相同性別)人口數,離婚(不同性別)人口數,離婚(相同性別)人口數,喪偶(不同性別)人口數,喪偶(相同性別)人口數,資料時間
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,475,664,0,205,0,171,0,108Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,262,425,0,116,0,77,0,108Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,792,1048,1,260,0,151,0,108Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,1035,1194,1,309,0,247,0,108Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,988,1471,0,198,0,216,0,108Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,1001,1122,1,379,0,225,0,108Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,2421,3144,5,741,0,447,0,108Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,1117,1509,0,327,0,247,0,108Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,312,344,0,125,0,92,0,108Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,975,1230,0,252,0,218,0,108Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,1117,1539,0,270,0,211,0,108Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,1454,2078,3,364,0,278,0,108Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,499,792,0,122,0,81,0,108Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,252,261,0,106,0,63,0,108Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,644,720,1,201,0,146,0,108Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,222,289,0,68,0,53,0,108Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,452,521,0,190,0,150,0,108Y
