COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M3_CNT,A15UP_M4_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶人口數,離婚人口數,喪偶人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,348,335,105,93,104Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,721,656,179,125,104Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,623,468,160,113,104Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,628,713,224,179,104Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,273,240,77,64,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,275,318,68,65,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,858,885,205,190,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,270,257,77,49,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,434,380,128,114,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,883,679,253,185,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,623,600,162,115,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,321,391,81,98,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,672,756,138,138,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,243,338,46,79,104Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,655,677,166,144,104Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,1321,1346,254,257,104Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,301,376,103,88,104Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,1113,1125,247,242,104Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,420,418,164,143,104Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,953,948,188,184,104Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,830,815,224,237,104Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,259,281,88,85,104Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,132,150,37,49,104Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,361,374,92,92,104Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,195,193,59,51,104Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,175,182,54,41,104Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,412,427,90,99,104Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,148,170,31,52,104Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,561,482,160,164,104Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,938,974,173,204,104Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,290,309,79,88,104Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,127,199,29,45,104Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,1459,1306,385,271,104Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,167,185,55,63,104Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,559,450,142,96,104Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,551,548,125,129,104Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,675,447,154,122,104Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,657,591,152,147,104Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,480,487,101,117,104Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,649,425,162,119,104Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,252,190,90,66,104Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,119,176,47,47,104Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,509,575,160,106,104Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,242,190,81,65,104Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,1086,1060,238,232,104Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,166,136,27,31,104Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,342,268,59,60,104Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,248,196,33,39,104Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,606,428,106,103,104Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,331,269,65,62,104Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,689,714,215,186,104Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,110,130,45,33,104Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,473,437,102,122,104Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,571,584,110,171,104Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,996,944,285,278,104Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,209,229,65,82,104Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,335,469,130,133,104Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,331,285,45,41,104Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,294,214,67,35,104Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,713,542,140,97,104Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,185,141,45,34,104Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,153,123,68,33,104Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,533,570,150,172,104Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,396,417,83,131,104Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,268,264,66,66,104Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,940,889,232,236,104Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,546,591,128,164,104Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,267,289,83,98,104Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,327,248,38,56,104Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,174,116,12,27,104Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,364,258,47,60,104Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,626,420,71,103,104Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,506,359,66,84,104Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,164,137,22,37,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,701,687,172,146,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,502,525,144,102,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,322,285,81,74,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,379,452,101,89,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,446,431,102,89,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,344,439,93,127,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,457,589,94,134,104Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,457,356,81,68,104Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,281,269,86,62,104Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,297,287,90,65,104Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,152,136,43,26,104Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,181,182,46,43,104Y
