COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,BORN_CNT,BORN_M_CNT,BORN_F_CNT,MARRY_B_CNT,CLAIM_B_CNT,NO_CLAIM_B_CNT,ABANDONED_B_CNT,TAIWAN_B_CNT,NON_TAIWAN_B_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,出生數,出生登記男嬰人口數,出生登記女嬰人口數,婚生人數,非婚生已認領人數,非婚生未認領人數,棄嬰或無依兒童人數,本國籍生母之嬰兒出生數,非本國籍生母之嬰兒出生數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,8,4,4,5,2,1,0,8,0,104Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,14,6,8,12,0,2,0,14,0,104Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,7,2,5,3,1,3,0,7,0,104Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,14,6,8,13,0,1,0,12,2,104Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,3,2,1,1,0,2,0,3,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,5,3,2,5,0,0,0,4,1,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,12,7,5,11,0,1,0,12,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,6,1,5,2,1,3,0,5,1,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,8,5,3,4,0,4,0,8,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,15,11,4,11,0,4,0,15,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,11,7,4,8,0,3,0,10,1,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,5,2,3,5,0,0,0,5,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,9,5,4,7,0,2,0,9,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,4,0,4,4,0,0,0,4,0,104Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,13,5,8,11,2,0,0,13,0,104Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,20,8,12,17,0,3,0,17,3,104Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,3,2,1,3,0,0,0,2,1,104Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,12,5,7,10,1,1,0,10,2,104Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,6,2,4,3,0,3,0,5,1,104Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,8,6,2,8,0,0,0,8,0,104Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,10,3,7,10,0,0,0,10,0,104Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,1,0,1,1,0,0,0,0,1,104Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,3,2,1,3,0,0,0,3,0,104Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,9,5,4,8,1,0,0,6,3,104Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,3,3,0,3,0,0,0,3,0,104Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,3,2,1,2,0,1,0,3,0,104Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,9,3,6,7,0,2,0,9,0,104Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,3,2,1,3,0,0,0,1,2,104Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,5,2,3,5,0,0,0,3,2,104Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,14,4,10,13,1,0,0,14,0,104Y
