COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,DEAD_CNT,DEAD_M_CNT,DEAD_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,死亡數,死亡登記男性人口數,死亡登記女性人口數,資料時間
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,10,4,6,104Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,13,6,7,104Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,15,11,4,104Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,25,20,5,104Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,9,4,5,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,6,2,4,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,25,16,9,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,6,6,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,16,7,9,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,30,20,10,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,13,6,7,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,9,5,4,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,20,13,7,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,9,6,3,104Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,18,13,5,104Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,29,16,13,104Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,12,6,6,104Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,28,20,8,104Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,21,10,11,104Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,23,16,7,104Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,34,24,10,104Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,15,9,6,104Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,3,2,1,104Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,17,11,6,104Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,6,4,2,104Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,6,4,2,104Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,9,5,4,104Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,5,4,1,104Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,27,17,10,104Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,25,15,10,104Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,13,8,5,104Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,8,7,1,104Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,51,33,18,104Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,17,13,4,104Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,13,8,5,104Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,22,11,11,104Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,13,8,5,104Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,26,22,4,104Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,14,8,6,104Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,22,14,8,104Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,10,7,3,104Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,7,6,1,104Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,14,10,4,104Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,18,9,9,104Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,21,14,7,104Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,3,3,0,104Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,14,10,4,104Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,10,6,4,104Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,22,13,9,104Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,8,5,3,104Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,26,18,8,104Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,4,4,0,104Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,21,12,9,104Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,21,12,9,104Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,45,26,19,104Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,5,4,1,104Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,19,13,6,104Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,10,6,4,104Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,5,3,2,104Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,21,14,7,104Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,7,5,2,104Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,8,6,2,104Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,29,19,10,104Y
