COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,A65A74_M_CNT,A65A74_F_CNT,A75A84_M_CNT,A75A84_F_CNT,A85UP_M_CNT,A85UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,獨居老人數,男性獨居老人數,女性獨居老人數,65-74歲男性獨居老人數,65-74歲女性獨居老人數,75-84歲男性獨居老人數,75-84歲女性獨居老人數,85歲以上男性獨居老人數,85歲以上女性獨居老人數,資料時間
10014,臺東縣,10014010,臺東市,10014010-021,大同里,44,18,26,13,16,5,7,,3,109Y08M
10014,臺東縣,10014010,臺東市,10014010-024,中山里,40,12,28,7,10,4,13,1,5,109Y08M
10014,臺東縣,10014010,臺東市,10014010-011,中心里,115,45,70,26,48,13,16,6,6,109Y08M
10014,臺東縣,10014010,臺東市,10014010-020,中正里,65,23,42,12,16,7,18,4,8,109Y08M
10014,臺東縣,10014010,臺東市,10014010-015,中華里,78,30,48,14,20,13,20,3,8,109Y08M
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,41,17,24,15,14,1,6,1,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-023,文化里,49,33,16,25,13,4,1,4,2,109Y08M
10014,臺東縣,10014010,臺東市,10014010-014,四維里,28,14,14,9,6,2,8,3,,109Y08M
10014,臺東縣,10014010,臺東市,10014010-008,民生里,159,56,103,41,63,10,29,5,11,109Y08M
10014,臺東縣,10014010,臺東市,10014010-013,民族里,47,18,29,12,14,4,11,2,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-018,民權里,45,14,31,9,14,3,13,2,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,57,33,24,26,13,5,6,2,5,109Y08M
10014,臺東縣,10014010,臺東市,10014010-032,光明里,100,42,58,30,40,5,12,7,6,109Y08M
10014,臺東縣,10014010,臺東市,10014010-022,成功里,60,25,35,14,16,10,15,1,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-012,自強里,162,51,111,26,68,20,28,5,15,109Y08M
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,100,39,61,29,31,8,25,2,5,109Y08M
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,67,24,43,20,26,4,15,,2,109Y08M
10014,臺東縣,10014010,臺東市,10014010-036,東海里,132,50,82,27,39,18,32,5,11,109Y08M
10014,臺東縣,10014010,臺東市,10014010-045,知本里,73,34,39,21,24,7,11,6,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-004,南王里,108,44,64,24,35,16,20,4,9,109Y08M
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,121,38,83,27,50,5,21,6,12,109Y08M
10014,臺東縣,10014010,臺東市,10014010-042,建和里,97,44,53,26,25,13,19,5,9,109Y08M
10014,臺東縣,10014010,臺東市,10014010-017,建國里,88,38,50,26,23,8,18,4,9,109Y08M
10014,臺東縣,10014010,臺東市,10014010-044,建業里,76,33,43,22,28,6,10,5,5,109Y08M
10014,臺東縣,10014010,臺東市,10014010-046,建農里,80,37,43,20,29,8,13,9,1,109Y08M
10014,臺東縣,10014010,臺東市,10014010-043,建興里,42,18,24,10,12,8,8,,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,88,37,51,19,25,11,20,7,6,109Y08M
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,48,31,17,16,10,12,7,3,,109Y08M
10014,臺東縣,10014010,臺東市,10014010-016,強國里,31,15,16,12,9,3,4,,3,109Y08M
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,88,42,46,22,19,15,20,5,7,109Y08M
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,43,15,28,9,12,5,12,1,4,109Y08M
10014,臺東縣,10014010,臺東市,10014010-025,復國里,44,18,26,10,15,5,6,3,5,109Y08M
10014,臺東縣,10014010,臺東市,10014010-027,復興里,19,7,12,6,2,,8,1,2,109Y08M
10014,臺東縣,10014010,臺東市,10014010-007,新生里,263,102,161,58,97,30,45,14,19,109Y08M
10014,臺東縣,10014010,臺東市,10014010-029,新園里,91,38,53,26,38,10,12,2,3,109Y08M
10014,臺東縣,10014010,臺東市,10014010-037,新興里,68,28,40,18,21,9,14,1,5,109Y08M
10014,臺東縣,10014010,臺東市,10014010-026,興國里,48,20,28,12,12,8,8,,8,109Y08M
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,103,45,58,31,33,8,19,6,6,109Y08M
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,104,45,59,25,39,14,14,6,6,109Y08M
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,177,80,97,52,59,22,31,6,7,109Y08M
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,93,39,54,22,31,13,14,4,9,109Y08M
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,51,24,27,11,10,11,11,2,6,109Y08M
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,284,109,175,69,105,28,61,12,9,109Y08M
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,28,9,19,4,13,4,4,1,2,109Y08M
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,45,16,29,9,15,5,13,2,1,109Y08M
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,31,12,19,10,9,1,7,1,3,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,66,28,38,23,26,3,6,2,6,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,126,60,66,44,41,13,18,3,7,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,56,24,32,16,17,7,10,1,5,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,107,55,52,35,27,16,17,4,8,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,85,39,46,27,21,8,17,4,8,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,86,43,43,24,21,14,17,5,5,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,109,49,60,37,35,11,17,1,8,109Y08M
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,61,26,35,14,24,12,8,,3,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,44,20,24,11,13,8,8,1,3,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,46,23,23,17,12,4,6,2,5,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-005,里?里,92,40,52,30,30,7,17,3,5,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,35,16,19,8,9,6,8,2,2,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,26,18,8,12,4,5,1,1,3,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,85,31,54,19,24,9,22,3,8,109Y08M
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,57,22,35,9,19,7,12,6,4,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,122,50,72,32,45,14,22,4,5,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,27,14,13,6,4,4,5,4,4,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,50,30,20,20,18,6,2,4,,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,75,32,43,22,25,7,11,3,7,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,96,51,45,35,24,11,16,5,5,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,42,22,20,17,13,4,5,1,2,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,59,27,32,16,12,7,12,4,8,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,60,30,30,19,13,5,14,6,3,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,35,19,16,9,6,9,6,1,4,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,36,16,20,11,9,3,7,2,4,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,106,57,49,28,29,27,14,2,6,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,24,10,14,7,3,1,8,2,3,109Y08M
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,121,60,61,42,35,14,18,4,8,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,83,35,48,23,23,9,17,3,8,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,77,34,43,22,22,11,14,1,7,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,45,26,19,19,8,4,8,3,3,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,63,31,32,14,17,15,12,2,3,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,58,26,32,17,18,6,10,3,4,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,61,30,31,16,12,14,10,,9,109Y08M
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,75,40,35,31,16,6,12,3,7,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,24,11,13,9,5,2,6,,2,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,41,20,21,12,11,6,6,2,4,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,24,10,14,7,9,3,3,,2,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,24,13,11,9,7,2,3,2,1,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,59,33,26,20,13,7,7,6,6,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,31,11,20,7,7,2,9,2,4,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,65,27,38,16,20,5,12,6,6,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,109,27,82,16,32,7,37,4,13,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,40,18,22,11,12,5,5,2,5,109Y08M
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,22,10,12,7,5,2,5,1,2,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,129,77,52,48,26,17,20,12,6,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,21,10,11,4,5,5,5,1,1,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,62,44,18,25,8,5,7,14,3,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,62,27,35,18,12,5,12,4,11,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,141,63,78,43,43,14,26,6,9,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,50,21,29,13,16,4,9,4,4,109Y08M
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,106,50,56,34,29,11,23,5,4,109Y08M
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,97,48,49,27,20,15,20,6,9,109Y08M
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,61,26,35,20,16,5,15,1,4,109Y08M
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,27,19,8,13,3,6,4,,1,109Y08M
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,112,55,57,36,33,15,20,4,4,109Y08M
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,94,44,50,32,27,9,18,3,5,109Y08M
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,54,21,33,10,20,8,10,3,3,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,42,21,21,13,12,6,6,2,3,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,148,69,79,48,42,12,21,9,16,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,59,35,24,22,11,9,6,4,7,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,61,20,41,14,24,3,12,3,5,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,94,49,45,27,23,16,19,6,3,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,56,24,32,17,21,6,8,1,3,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,55,26,29,16,8,9,15,1,6,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,110,49,61,29,37,15,16,5,8,109Y08M
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,61,22,39,12,16,7,15,3,8,109Y08M
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,34,13,21,8,13,3,6,2,2,109Y08M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,72,33,39,21,22,8,14,4,3,109Y08M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,48,24,24,20,13,3,10,1,1,109Y08M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,85,40,45,28,26,7,14,5,5,109Y08M
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,40,19,21,15,14,4,5,,2,109Y08M
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,13,5,8,2,2,3,3,,3,109Y08M
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,10,7,3,3,2,3,1,1,,109Y08M
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,25,12,13,5,7,6,3,1,3,109Y08M
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,4,3,1,3,,,1,,,109Y08M
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,4,1,3,,3,,,1,,109Y08M
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,13,9,4,7,2,2,1,,1,109Y08M
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,15,6,9,5,6,1,2,,1,109Y08M
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,6,2,4,1,3,1,1,,,109Y08M
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,8,2,6,1,3,1,1,,2,109Y08M
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,5,2,3,2,3,,,,,109Y08M
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,13,6,7,4,6,1,,1,1,109Y08M
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,6,3,3,2,2,1,,,1,109Y08M
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,18,9,9,8,4,,1,1,4,109Y08M
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,23,11,12,5,3,4,7,2,2,109Y08M
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,13,7,6,5,5,2,,,1,109Y08M
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,8,6,2,4,2,2,,,,109Y08M
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,32,16,16,10,12,6,1,,3,109Y08M
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,9,6,3,6,2,,,,1,109Y08M
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,10,4,6,4,4,,1,,1,109Y08M
10014,臺東縣,10014150,達仁鄉,10014150-002,土?村,21,9,12,7,9,2,3,,,109Y08M
10014,臺東縣,10014150,達仁鄉,10014150-001,台?村,25,11,14,8,11,3,2,,1,109Y08M
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,26,12,14,8,9,4,2,,3,109Y08M
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,13,6,7,3,6,3,,,1,109Y08M
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,24,15,9,10,7,4,1,1,1,109Y08M
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,17,7,10,4,6,2,4,1,,109Y08M
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,33,21,12,14,4,4,6,3,2,109Y08M
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,47,26,21,21,9,1,8,4,4,109Y08M
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,18,8,10,7,6,,,1,4,109Y08M
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,23,15,8,11,4,3,2,1,2,109Y08M
